"customer_id","total_orders","total_spent","avg_order_value","lifetime_purchases","f_score","m_score","fm_score","customer_segment"
993,1,99,99.0000000000000000,50,1,1,2,At Risk
1071,1,75,75.0000000000000000,50,1,2,3,At Risk
141,1,28,28.0000000000000000,50,1,5,6,Loyal
2028,1,73,73.0000000000000000,50,1,2,3,At Risk
2100,1,78,78.0000000000000000,50,1,2,3,At Risk
2186,1,32,32.0000000000000000,50,1,5,6,Loyal
2979,1,56,56.0000000000000000,49,1,3,4,Potential
3219,1,34,34.0000000000000000,49,1,5,6,Loyal
540,1,48,48.0000000000000000,49,1,4,5,Potential
1315,1,67,67.0000000000000000,49,1,3,4,Potential
2700,1,96,96.0000000000000000,49,1,1,2,At Risk
1254,1,23,23.0000000000000000,49,1,5,6,Loyal
697,1,42,42.0000000000000000,49,1,4,5,Potential
950,1,36,36.0000000000000000,49,1,4,5,Potential
1945,1,45,45.0000000000000000,49,1,4,5,Potential
1848,1,100,100.0000000000000000,49,1,1,2,At Risk
3890,1,65,65.0000000000000000,49,1,3,4,Potential
3509,1,54,54.0000000000000000,49,1,3,4,Potential
304,1,60,60.0000000000000000,49,1,3,4,Potential
2686,1,25,25.0000000000000000,49,1,5,6,Loyal
3065,1,76,76.0000000000000000,49,1,2,3,At Risk
1781,1,81,81.0000000000000000,49,1,2,3,At Risk
2534,1,46,46.0000000000000000,49,1,4,5,Potential
1397,1,30,30.0000000000000000,49,1,5,6,Loyal
1855,1,61,61.0000000000000000,49,1,3,4,Potential
1231,1,80,80.0000000000000000,49,1,2,3,At Risk
130,1,67,67.0000000000000000,49,1,3,4,Potential
1874,1,44,44.0000000000000000,49,1,4,5,Potential
2932,1,31,31.0000000000000000,49,1,5,6,Loyal
2825,1,90,90.0000000000000000,49,1,1,2,At Risk
1059,1,33,33.0000000000000000,49,1,5,6,Loyal
1706,1,29,29.0000000000000000,49,1,5,6,Loyal
68,1,33,33.0000000000000000,49,1,5,6,Loyal
3854,1,76,76.0000000000000000,49,1,2,3,At Risk
1782,1,33,33.0000000000000000,49,1,5,6,Loyal
2555,1,68,68.0000000000000000,49,1,3,4,Potential
683,1,29,29.0000000000000000,49,1,5,6,Loyal
3052,1,64,64.0000000000000000,49,1,3,4,Potential
2871,1,34,34.0000000000000000,49,1,5,6,Loyal
4,1,90,90.0000000000000000,49,1,1,2,At Risk
839,1,29,29.0000000000000000,49,1,5,6,Loyal
1637,1,22,22.0000000000000000,49,1,5,6,Loyal
2796,1,35,35.0000000000000000,49,1,5,6,Loyal
886,1,99,99.0000000000000000,49,1,1,2,At Risk
610,1,54,54.0000000000000000,49,1,3,4,Potential
2316,1,79,79.0000000000000000,49,1,2,3,At Risk
2076,1,28,28.0000000000000000,49,1,5,6,Loyal
2272,1,99,99.0000000000000000,49,1,1,2,At Risk
478,1,56,56.0000000000000000,49,1,3,4,Potential
56,1,28,28.0000000000000000,49,1,5,6,Loyal
2044,1,33,33.0000000000000000,49,1,5,6,Loyal
1546,1,43,43.0000000000000000,49,1,4,5,Potential
706,1,90,90.0000000000000000,49,1,1,2,At Risk
7,1,85,85.0000000000000000,49,1,1,2,At Risk
3747,1,99,99.0000000000000000,49,1,1,2,At Risk
1666,1,41,41.0000000000000000,49,1,4,5,Potential
3207,1,52,52.0000000000000000,49,1,3,4,Potential
3862,1,57,57.0000000000000000,49,1,3,4,Potential
3576,1,95,95.0000000000000000,49,1,1,2,At Risk
2089,1,89,89.0000000000000000,49,1,1,2,At Risk
2861,1,38,38.0000000000000000,49,1,4,5,Potential
1674,1,62,62.0000000000000000,49,1,3,4,Potential
3664,1,59,59.0000000000000000,49,1,3,4,Potential
1079,1,59,59.0000000000000000,49,1,3,4,Potential
2692,1,25,25.0000000000000000,48,1,5,6,Loyal
327,1,41,41.0000000000000000,48,1,4,5,Potential
2022,1,33,33.0000000000000000,48,1,5,6,Loyal
1973,1,31,31.0000000000000000,48,1,5,6,Loyal
580,1,41,41.0000000000000000,48,1,4,5,Potential
1370,1,75,75.0000000000000000,48,1,2,3,At Risk
969,1,67,67.0000000000000000,48,1,3,4,Potential
1080,1,33,33.0000000000000000,48,1,5,6,Loyal
3253,1,21,21.0000000000000000,48,1,5,6,Loyal
96,1,100,100.0000000000000000,48,1,1,2,At Risk
36,1,33,33.0000000000000000,48,1,5,6,Loyal
2805,1,76,76.0000000000000000,48,1,2,3,At Risk
1512,1,91,91.0000000000000000,48,1,1,2,At Risk
3585,1,52,52.0000000000000000,48,1,3,4,Potential
546,1,32,32.0000000000000000,48,1,5,6,Loyal
3775,1,83,83.0000000000000000,48,1,2,3,At Risk
1530,1,63,63.0000000000000000,48,1,3,4,Potential
3021,1,81,81.0000000000000000,48,1,2,3,At Risk
2600,1,99,99.0000000000000000,48,1,1,2,At Risk
458,1,99,99.0000000000000000,48,1,1,2,At Risk
414,1,99,99.0000000000000000,48,1,1,2,At Risk
2609,1,68,68.0000000000000000,48,1,2,3,At Risk
3493,1,65,65.0000000000000000,48,1,3,4,Potential
588,1,86,86.0000000000000000,48,1,1,2,At Risk
1382,1,86,86.0000000000000000,48,1,1,2,At Risk
2976,1,68,68.0000000000000000,48,1,2,3,At Risk
479,1,43,43.0000000000000000,48,1,4,5,Potential
418,1,81,81.0000000000000000,48,1,2,3,At Risk
2530,1,62,62.0000000000000000,48,1,3,4,Potential
2582,1,81,81.0000000000000000,48,1,2,3,At Risk
3739,1,45,45.0000000000000000,48,1,4,5,Potential
507,1,40,40.0000000000000000,48,1,4,5,Potential
2806,1,97,97.0000000000000000,48,1,1,2,At Risk
1400,1,81,81.0000000000000000,48,1,2,3,At Risk
463,1,81,81.0000000000000000,48,1,2,3,At Risk
624,1,70,70.0000000000000000,48,1,2,3,At Risk
1320,1,24,24.0000000000000000,48,1,5,6,Loyal
1698,1,87,87.0000000000000000,48,1,1,2,At Risk
2643,1,87,87.0000000000000000,48,1,1,2,At Risk
3363,1,61,61.0000000000000000,48,1,3,4,Potential
422,1,40,40.0000000000000000,48,1,4,5,Potential
1097,1,46,46.0000000000000000,48,1,4,5,Potential
191,1,70,70.0000000000000000,48,1,2,3,At Risk
2843,1,100,100.0000000000000000,48,1,1,2,At Risk
988,1,47,47.0000000000000000,48,1,4,5,Potential
1472,1,71,71.0000000000000000,48,1,2,3,At Risk
3271,1,25,25.0000000000000000,48,1,5,6,Loyal
1038,1,25,25.0000000000000000,48,1,5,6,Loyal
3844,1,71,71.0000000000000000,48,1,2,3,At Risk
1055,1,96,96.0000000000000000,48,1,1,2,At Risk
3454,1,60,60.0000000000000000,48,1,3,4,Potential
343,1,36,36.0000000000000000,48,1,4,5,Potential
736,1,48,48.0000000000000000,48,1,4,5,Potential
1703,1,83,83.0000000000000000,48,1,2,3,At Risk
2511,1,42,42.0000000000000000,48,1,4,5,Potential
2144,1,66,66.0000000000000000,48,1,3,4,Potential
2754,1,59,59.0000000000000000,48,1,3,4,Potential
322,1,36,36.0000000000000000,48,1,4,5,Potential
3136,1,85,85.0000000000000000,48,1,1,2,At Risk
2707,1,40,40.0000000000000000,48,1,4,5,Potential
1816,1,72,72.0000000000000000,48,1,2,3,At Risk
127,1,36,36.0000000000000000,48,1,4,5,Potential
1241,1,79,79.0000000000000000,48,1,2,3,At Risk
1802,1,57,57.0000000000000000,48,1,3,4,Potential
799,1,39,39.0000000000000000,48,1,4,5,Potential
1590,1,72,72.0000000000000000,48,1,2,3,At Risk
1085,1,36,36.0000000000000000,48,1,4,5,Potential
2300,1,57,57.0000000000000000,48,1,3,4,Potential
1941,1,89,89.0000000000000000,48,1,1,2,At Risk
221,1,57,57.0000000000000000,48,1,3,4,Potential
1889,1,89,89.0000000000000000,48,1,1,2,At Risk
2572,1,27,27.0000000000000000,48,1,5,6,Loyal
2176,1,50,50.0000000000000000,48,1,4,5,Potential
1250,1,50,50.0000000000000000,48,1,4,5,Potential
3336,1,94,94.0000000000000000,48,1,1,2,At Risk
2082,1,78,78.0000000000000000,48,1,2,3,At Risk
825,1,94,94.0000000000000000,48,1,1,2,At Risk
1833,1,29,29.0000000000000000,48,1,5,6,Loyal
1758,1,94,94.0000000000000000,48,1,1,2,At Risk
2195,1,29,29.0000000000000000,48,1,5,6,Loyal
999,1,90,90.0000000000000000,48,1,1,2,At Risk
116,1,94,94.0000000000000000,48,1,1,2,At Risk
3628,1,54,54.0000000000000000,48,1,3,4,Potential
1892,1,74,74.0000000000000000,48,1,2,3,At Risk
1895,1,90,90.0000000000000000,48,1,1,2,At Risk
1208,1,90,90.0000000000000000,48,1,1,2,At Risk
2234,1,31,31.0000000000000000,48,1,5,6,Loyal
1566,1,93,93.0000000000000000,48,1,1,2,At Risk
459,1,91,91.0000000000000000,48,1,1,2,At Risk
887,1,54,54.0000000000000000,48,1,3,4,Potential
2419,1,69,69.0000000000000000,47,1,2,3,At Risk
1458,1,57,57.0000000000000000,47,1,3,4,Potential
2824,1,63,63.0000000000000000,47,1,3,4,Potential
1364,1,90,90.0000000000000000,47,1,1,2,At Risk
2893,1,39,39.0000000000000000,47,1,4,5,Potential
2396,1,83,83.0000000000000000,47,1,2,3,At Risk
1301,1,100,100.0000000000000000,47,1,1,2,At Risk
3341,1,36,36.0000000000000000,47,1,4,5,Potential
982,1,42,42.0000000000000000,47,1,4,5,Potential
1529,1,75,75.0000000000000000,47,1,2,3,At Risk
3826,1,35,35.0000000000000000,47,1,5,6,Loyal
87,1,41,41.0000000000000000,47,1,4,5,Potential
3298,1,82,82.0000000000000000,47,1,2,3,At Risk
3526,1,38,38.0000000000000000,47,1,4,5,Potential
832,1,63,63.0000000000000000,47,1,3,4,Potential
2430,1,57,57.0000000000000000,47,1,3,4,Potential
989,1,84,84.0000000000000000,47,1,2,3,At Risk
3685,1,86,86.0000000000000000,47,1,1,2,At Risk
2306,1,63,63.0000000000000000,47,1,3,4,Potential
2743,1,86,86.0000000000000000,47,1,1,2,At Risk
2290,1,82,82.0000000000000000,47,1,2,3,At Risk
351,1,68,68.0000000000000000,47,1,3,4,Potential
3049,1,93,93.0000000000000000,47,1,1,2,At Risk
2830,1,67,67.0000000000000000,47,1,3,4,Potential
2767,1,91,91.0000000000000000,47,1,1,2,At Risk
240,1,51,51.0000000000000000,47,1,4,5,Potential
2190,1,94,94.0000000000000000,47,1,1,2,At Risk
3025,1,82,82.0000000000000000,47,1,2,3,At Risk
1659,1,66,66.0000000000000000,47,1,3,4,Potential
857,1,33,33.0000000000000000,47,1,5,6,Loyal
891,1,51,51.0000000000000000,47,1,4,5,Potential
3462,1,23,23.0000000000000000,47,1,5,6,Loyal
323,1,95,95.0000000000000000,47,1,1,2,At Risk
3022,1,77,77.0000000000000000,47,1,2,3,At Risk
1156,1,53,53.0000000000000000,47,1,3,4,Potential
3797,1,81,81.0000000000000000,47,1,2,3,At Risk
2105,1,88,88.0000000000000000,47,1,1,2,At Risk
1667,1,64,64.0000000000000000,47,1,3,4,Potential
3110,1,92,92.0000000000000000,47,1,1,2,At Risk
1959,1,67,67.0000000000000000,47,1,3,4,Potential
1348,1,95,95.0000000000000000,47,1,1,2,At Risk
1043,1,80,80.0000000000000000,47,1,2,3,At Risk
1077,1,72,72.0000000000000000,47,1,2,3,At Risk
1127,1,58,58.0000000000000000,47,1,3,4,Potential
1098,1,27,27.0000000000000000,47,1,5,6,Loyal
1270,1,53,53.0000000000000000,47,1,3,4,Potential
2221,1,62,62.0000000000000000,47,1,3,4,Potential
2326,1,55,55.0000000000000000,47,1,3,4,Potential
2728,1,87,87.0000000000000000,47,1,1,2,At Risk
2690,1,35,35.0000000000000000,47,1,4,5,Potential
3667,1,50,50.0000000000000000,47,1,4,5,Potential
1115,1,25,25.0000000000000000,47,1,5,6,Loyal
3294,1,91,91.0000000000000000,47,1,1,2,At Risk
3142,1,30,30.0000000000000000,47,1,5,6,Loyal
1165,1,96,96.0000000000000000,47,1,1,2,At Risk
3297,1,23,23.0000000000000000,47,1,5,6,Loyal
2441,1,90,90.0000000000000000,47,1,1,2,At Risk
178,1,42,42.0000000000000000,47,1,4,5,Potential
2961,1,48,48.0000000000000000,47,1,4,5,Potential
3152,1,64,64.0000000000000000,47,1,3,4,Potential
1800,1,48,48.0000000000000000,47,1,4,5,Potential
528,1,23,23.0000000000000000,47,1,5,6,Loyal
491,1,42,42.0000000000000000,47,1,4,5,Potential
3406,1,87,87.0000000000000000,47,1,1,2,At Risk
383,1,76,76.0000000000000000,47,1,2,3,At Risk
2885,1,50,50.0000000000000000,47,1,4,5,Potential
3644,1,96,96.0000000000000000,47,1,1,2,At Risk
3549,1,37,37.0000000000000000,47,1,4,5,Potential
149,1,90,90.0000000000000000,47,1,1,2,At Risk
3135,1,66,66.0000000000000000,47,1,3,4,Potential
1069,1,94,94.0000000000000000,47,1,1,2,At Risk
3367,1,65,65.0000000000000000,47,1,3,4,Potential
3361,1,81,81.0000000000000000,47,1,2,3,At Risk
2410,1,37,37.0000000000000000,47,1,4,5,Potential
3362,1,26,26.0000000000000000,47,1,5,6,Loyal
3718,1,85,85.0000000000000000,47,1,1,2,At Risk
1403,1,21,21.0000000000000000,47,1,5,6,Loyal
3028,1,26,26.0000000000000000,47,1,5,6,Loyal
3619,1,67,67.0000000000000000,47,1,3,4,Potential
515,1,62,62.0000000000000000,47,1,3,4,Potential
1819,1,39,39.0000000000000000,47,1,4,5,Potential
2620,1,40,40.0000000000000000,47,1,4,5,Potential
3828,1,73,73.0000000000000000,47,1,2,3,At Risk
596,1,77,77.0000000000000000,47,1,2,3,At Risk
2015,1,26,26.0000000000000000,47,1,5,6,Loyal
372,1,83,83.0000000000000000,47,1,2,3,At Risk
3860,1,88,88.0000000000000000,47,1,1,2,At Risk
2331,1,63,63.0000000000000000,47,1,3,4,Potential
1933,1,36,36.0000000000000000,47,1,4,5,Potential
747,1,45,45.0000000000000000,47,1,4,5,Potential
2956,1,67,67.0000000000000000,46,1,3,4,Potential
3339,1,94,94.0000000000000000,46,1,1,2,At Risk
2734,1,83,83.0000000000000000,46,1,2,3,At Risk
638,1,20,20.0000000000000000,46,1,5,6,Loyal
1699,1,41,41.0000000000000000,46,1,4,5,Potential
3181,1,88,88.0000000000000000,46,1,1,2,At Risk
3218,1,58,58.0000000000000000,46,1,3,4,Potential
1094,1,48,48.0000000000000000,46,1,4,5,Potential
1469,1,39,39.0000000000000000,46,1,4,5,Potential
124,1,89,89.0000000000000000,46,1,1,2,At Risk
2607,1,98,98.0000000000000000,46,1,1,2,At Risk
1651,1,36,36.0000000000000000,46,1,4,5,Potential
2156,1,51,51.0000000000000000,46,1,3,4,Potential
1585,1,95,95.0000000000000000,46,1,1,2,At Risk
94,1,62,62.0000000000000000,46,1,3,4,Potential
3371,1,31,31.0000000000000000,46,1,5,6,Loyal
3660,1,77,77.0000000000000000,46,1,2,3,At Risk
2937,1,34,34.0000000000000000,46,1,5,6,Loyal
1768,1,89,89.0000000000000000,46,1,1,2,At Risk
1072,1,81,81.0000000000000000,46,1,2,3,At Risk
1504,1,30,30.0000000000000000,46,1,5,6,Loyal
2348,1,64,64.0000000000000000,46,1,3,4,Potential
570,1,33,33.0000000000000000,46,1,5,6,Loyal
3092,1,81,81.0000000000000000,46,1,2,3,At Risk
1841,1,98,98.0000000000000000,46,1,1,2,At Risk
20,1,90,90.0000000000000000,46,1,1,2,At Risk
332,1,98,98.0000000000000000,46,1,1,2,At Risk
2411,1,43,43.0000000000000000,46,1,4,5,Potential
2651,1,35,35.0000000000000000,46,1,4,5,Potential
3073,1,98,98.0000000000000000,46,1,1,2,At Risk
807,1,56,56.0000000000000000,46,1,3,4,Potential
2902,1,43,43.0000000000000000,46,1,4,5,Potential
1930,1,33,33.0000000000000000,46,1,5,6,Loyal
688,1,38,38.0000000000000000,46,1,4,5,Potential
730,1,56,56.0000000000000000,46,1,3,4,Potential
2660,1,35,35.0000000000000000,46,1,5,6,Loyal
2037,1,63,63.0000000000000000,46,1,3,4,Potential
57,1,73,73.0000000000000000,46,1,2,3,At Risk
1417,1,56,56.0000000000000000,46,1,3,4,Potential
317,1,22,22.0000000000000000,46,1,5,6,Loyal
1236,1,22,22.0000000000000000,46,1,5,6,Loyal
898,1,91,91.0000000000000000,46,1,1,2,At Risk
2165,1,20,20.0000000000000000,46,1,5,6,Loyal
3433,1,44,44.0000000000000000,46,1,4,5,Potential
1582,1,77,77.0000000000000000,46,1,2,3,At Risk
132,1,29,29.0000000000000000,46,1,5,6,Loyal
380,1,29,29.0000000000000000,46,1,5,6,Loyal
1942,1,99,99.0000000000000000,46,1,1,2,At Risk
614,1,51,51.0000000000000000,46,1,4,5,Potential
1880,1,33,33.0000000000000000,46,1,5,6,Loyal
3846,1,52,52.0000000000000000,46,1,3,4,Potential
905,1,99,99.0000000000000000,46,1,1,2,At Risk
1130,1,65,65.0000000000000000,46,1,3,4,Potential
3788,1,80,80.0000000000000000,46,1,2,3,At Risk
2694,1,70,70.0000000000000000,46,1,2,3,At Risk
3683,1,60,60.0000000000000000,46,1,3,4,Potential
635,1,60,60.0000000000000000,46,1,3,4,Potential
3154,1,88,88.0000000000000000,46,1,1,2,At Risk
171,1,25,25.0000000000000000,46,1,5,6,Loyal
2653,1,20,20.0000000000000000,46,1,5,6,Loyal
1019,1,70,70.0000000000000000,46,1,2,3,At Risk
345,1,71,71.0000000000000000,46,1,2,3,At Risk
1663,1,24,24.0000000000000000,46,1,5,6,Loyal
1887,1,91,91.0000000000000000,46,1,1,2,At Risk
1202,1,61,61.0000000000000000,46,1,3,4,Potential
1160,1,55,55.0000000000000000,46,1,3,4,Potential
108,1,67,67.0000000000000000,46,1,3,4,Potential
3878,1,96,96.0000000000000000,46,1,1,2,At Risk
2483,1,87,87.0000000000000000,46,1,1,2,At Risk
3364,1,23,23.0000000000000000,46,1,5,6,Loyal
2192,1,69,69.0000000000000000,46,1,2,3,At Risk
1806,1,62,62.0000000000000000,46,1,3,4,Potential
1499,1,32,32.0000000000000000,46,1,5,6,Loyal
2859,1,87,87.0000000000000000,46,1,1,2,At Risk
1905,1,71,71.0000000000000000,46,1,2,3,At Risk
2347,1,67,67.0000000000000000,46,1,3,4,Potential
2617,1,55,55.0000000000000000,46,1,3,4,Potential
3794,1,20,20.0000000000000000,46,1,5,6,Loyal
670,1,89,89.0000000000000000,45,1,1,2,At Risk
872,1,42,42.0000000000000000,45,1,4,5,Potential
1322,1,84,84.0000000000000000,45,1,2,3,At Risk
1183,1,21,21.0000000000000000,45,1,5,6,Loyal
305,1,84,84.0000000000000000,45,1,2,3,At Risk
1936,1,68,68.0000000000000000,45,1,3,4,Potential
2296,1,22,22.0000000000000000,45,1,5,6,Loyal
1286,1,99,99.0000000000000000,45,1,1,2,At Risk
3776,1,63,63.0000000000000000,45,1,3,4,Potential
878,1,65,65.0000000000000000,45,1,3,4,Potential
654,1,68,68.0000000000000000,45,1,2,3,At Risk
3338,1,23,23.0000000000000000,45,1,5,6,Loyal
691,1,68,68.0000000000000000,45,1,2,3,At Risk
514,1,65,65.0000000000000000,45,1,3,4,Potential
2147,1,23,23.0000000000000000,45,1,5,6,Loyal
2774,1,98,98.0000000000000000,45,1,1,2,At Risk
3556,1,23,23.0000000000000000,45,1,5,6,Loyal
2809,1,62,62.0000000000000000,45,1,3,4,Potential
3732,1,62,62.0000000000000000,45,1,3,4,Potential
1616,1,62,62.0000000000000000,45,1,3,4,Potential
1434,1,60,60.0000000000000000,45,1,3,4,Potential
933,1,24,24.0000000000000000,45,1,5,6,Loyal
2737,1,25,25.0000000000000000,45,1,5,6,Loyal
1075,1,71,71.0000000000000000,45,1,2,3,At Risk
1962,1,59,59.0000000000000000,45,1,3,4,Potential
2428,1,26,26.0000000000000000,45,1,5,6,Loyal
362,1,96,96.0000000000000000,45,1,1,2,At Risk
769,1,95,95.0000000000000000,45,1,1,2,At Risk
3366,1,58,58.0000000000000000,45,1,3,4,Potential
542,1,27,27.0000000000000000,45,1,5,6,Loyal
622,1,27,27.0000000000000000,45,1,5,6,Loyal
3464,1,27,27.0000000000000000,45,1,5,6,Loyal
2453,1,67,67.0000000000000000,45,1,3,4,Potential
1100,1,73,73.0000000000000000,45,1,2,3,At Risk
1727,1,28,28.0000000000000000,45,1,5,6,Loyal
2817,1,28,28.0000000000000000,45,1,5,6,Loyal
309,1,29,29.0000000000000000,45,1,5,6,Loyal
3115,1,56,56.0000000000000000,45,1,3,4,Potential
3412,1,56,56.0000000000000000,45,1,3,4,Potential
3314,1,30,30.0000000000000000,45,1,5,6,Loyal
547,1,74,74.0000000000000000,45,1,2,3,At Risk
1082,1,30,30.0000000000000000,45,1,5,6,Loyal
3649,1,67,67.0000000000000000,45,1,3,4,Potential
672,1,30,30.0000000000000000,45,1,5,6,Loyal
1770,1,75,75.0000000000000000,45,1,2,3,At Risk
126,1,54,54.0000000000000000,45,1,3,4,Potential
2641,1,75,75.0000000000000000,45,1,2,3,At Risk
1944,1,53,53.0000000000000000,45,1,3,4,Potential
1421,1,53,53.0000000000000000,45,1,3,4,Potential
1836,1,75,75.0000000000000000,45,1,2,3,At Risk
3313,1,75,75.0000000000000000,45,1,2,3,At Risk
3780,1,75,75.0000000000000000,45,1,2,3,At Risk
45,1,53,53.0000000000000000,45,1,3,4,Potential
212,1,92,92.0000000000000000,45,1,1,2,At Risk
246,1,53,53.0000000000000000,45,1,3,4,Potential
1794,1,92,92.0000000000000000,45,1,1,2,At Risk
2721,1,52,52.0000000000000000,45,1,3,4,Potential
465,1,52,52.0000000000000000,45,1,3,4,Potential
1260,1,64,64.0000000000000000,45,1,3,4,Potential
3805,1,77,77.0000000000000000,45,1,2,3,At Risk
2246,1,90,90.0000000000000000,45,1,1,2,At Risk
3820,1,99,99.0000000000000000,45,1,1,2,At Risk
1627,1,35,35.0000000000000000,45,1,5,6,Loyal
1596,1,35,35.0000000000000000,45,1,5,6,Loyal
2027,1,35,35.0000000000000000,45,1,5,6,Loyal
2212,1,89,89.0000000000000000,45,1,1,2,At Risk
3481,1,79,79.0000000000000000,45,1,2,3,At Risk
32,1,79,79.0000000000000000,45,1,2,3,At Risk
1756,1,20,20.0000000000000000,45,1,5,6,Loyal
1694,1,88,88.0000000000000000,45,1,1,2,At Risk
1829,1,80,80.0000000000000000,45,1,2,3,At Risk
142,1,46,46.0000000000000000,45,1,4,5,Potential
3343,1,81,81.0000000000000000,45,1,2,3,At Risk
2515,1,37,37.0000000000000000,45,1,4,5,Potential
793,1,45,45.0000000000000000,45,1,4,5,Potential
3817,1,86,86.0000000000000000,45,1,1,2,At Risk
34,1,38,38.0000000000000000,45,1,4,5,Potential
2423,1,82,82.0000000000000000,45,1,2,3,At Risk
2537,1,39,39.0000000000000000,45,1,4,5,Potential
3321,1,44,44.0000000000000000,45,1,4,5,Potential
2440,1,44,44.0000000000000000,45,1,4,5,Potential
370,1,40,40.0000000000000000,45,1,4,5,Potential
47,1,43,43.0000000000000000,45,1,4,5,Potential
2259,1,71,71.0000000000000000,44,1,2,3,At Risk
1937,1,60,60.0000000000000000,44,1,3,4,Potential
607,1,90,90.0000000000000000,44,1,1,2,At Risk
3895,1,78,78.0000000000000000,44,1,2,3,At Risk
146,1,95,95.0000000000000000,44,1,1,2,At Risk
2838,1,88,88.0000000000000000,44,1,1,2,At Risk
689,1,59,59.0000000000000000,44,1,3,4,Potential
1005,1,79,79.0000000000000000,44,1,2,3,At Risk
1869,1,58,58.0000000000000000,44,1,3,4,Potential
845,1,48,48.0000000000000000,44,1,4,5,Potential
2255,1,79,79.0000000000000000,44,1,2,3,At Risk
1926,1,32,32.0000000000000000,44,1,5,6,Loyal
66,1,36,36.0000000000000000,44,1,4,5,Potential
17,1,36,36.0000000000000000,44,1,4,5,Potential
